,Frequency
Pre_553,14.0
Pre_2652,14.0
Pre_1451,14.0
Pre_225,14.0
Pre_719,14.0
Pre_2165,14.0
Pre_791,14.0
Pre_426,14.0
Pre_2039,15.0
Pre_2799,15.0
Pre_1015,15.0
Pre_31,16.0
Pre_2419,16.0
Pre_1907,17.0
Pre_2892,17.0
Pre_2837,17.0
Pre_1010,18.0
Pre_1991,18.0
Pre_297,18.0
Pre_1824,18.0
Pre_1643,18.0
Pre_1388,18.0
Pre_2595,19.0
Pre_2155,19.0
Pre_7,19.0
Pre_580,20.0
Pre_1963,20.0
Pre_852,20.0
Pre_2535,20.0
Pre_2442,20.0
Pre_1488,20.0
Pre_2073,21.0
Pre_2733,21.0
Pre_2150,21.0
Pre_2515,21.0
Pre_2801,21.0
Pre_2451,21.0
Pre_1772,21.0
Pre_23,21.0
Pre_1189,21.0
Pre_2732,21.0
Pre_232,22.0
Pre_1556,22.0
Pre_227,22.0
Pre_1831,22.0
Pre_18,22.0
Pre_1425,22.0
Pre_1397,22.0
Pre_2893,22.0
Pre_2370,22.0
Pre_2089,22.0
Pre_2031,22.0
Pre_2110,22.0
Pre_822,22.0
Pre_2825,22.0
Pre_2693,22.0
Pre_1468,22.0
Pre_1889,22.0
Pre_1389,22.0
Pre_2760,23.0
Pre_1473,23.0
Pre_2128,23.0
Pre_229,23.0
Pre_1814,23.0
Pre_1396,23.0
Pre_1238,23.0
Pre_2878,23.0
Pre_2302,23.0
Pre_2648,23.0
Pre_2541,23.0
Pre_928,23.0
Pre_1881,23.0
Pre_534,23.0
Pre_760,23.0
Pre_2441,23.0
Pre_1126,23.0
Pre_2582,24.0
Pre_1577,24.0
Pre_2667,24.0
Pre_2654,24.0
Pre_2632,24.0
Pre_1838,24.0
Pre_754,24.0
Pre_2511,24.0
Pre_228,24.0
Pre_1994,24.0
Pre_230,24.0
Pre_2267,24.0
Pre_2369,24.0
Pre_2145,24.0
Pre_1166,24.0
Pre_1452,24.0
Pre_2232,24.0
Pre_2079,25.0
Pre_1848,25.0
Pre_2629,25.0
Pre_1672,25.0
Pre_147,25.0
Pre_2542,25.0
Pre_1127,25.0
Pre_821,25.0
Pre_820,25.0
Pre_2800,25.0
Pre_2163,25.0
Pre_1133,25.0
Pre_2855,25.0
Pre_1726,25.0
Pre_1876,25.0
Pre_910,25.0
Pre_1826,25.0
Pre_1900,25.0
Pre_1561,25.0
Pre_813,26.0
Pre_282,26.0
Pre_1828,26.0
Pre_2653,26.0
Pre_47,26.0
Pre_2119,26.0
Pre_2789,26.0
Pre_1424,26.0
Pre_1791,26.0
Pre_2876,26.0
Pre_546,26.0
Pre_1169,26.0
Pre_1872,26.0
Pre_713,26.0
Pre_2218,26.0
Pre_2730,26.0
Pre_1641,26.0
Pre_2721,26.0
Pre_1660,27.0
Pre_2266,27.0
Pre_2650,27.0
Pre_2192,27.0
Pre_2701,27.0
Pre_1168,27.0
Pre_1307,27.0
Pre_2788,27.0
Pre_1456,27.0
Pre_1516,27.0
Pre_418,27.0
Pre_2466,27.0
Pre_1766,27.0
Pre_1851,28.0
Pre_2631,28.0
Pre_183,28.0
Pre_2339,28.0
Pre_1724,28.0
Pre_2095,28.0
Pre_1438,28.0
Pre_1605,28.0
Pre_1099,28.0
Pre_620,28.0
Pre_1949,28.0
Pre_2743,28.0
Pre_1723,28.0
Pre_1482,28.0
Pre_2065,28.0
Pre_2594,29.0
Pre_449,29.0
Pre_1961,29.0
Pre_1812,30.0
Pre_1272,31.0
Pre_1762,31.0
Pre_144,31.0
Pre_621,32.0
Pre_1849,32.0
Pre_2539,32.0
Pre_1481,32.0
Pre_2263,32.0
Pre_2004,32.0
Pre_2838,32.0
Pre_2563,32.0
Pre_2106,33.0
Pre_2587,33.0
Pre_1694,33.0
Pre_244,33.0
Pre_1911,33.0
Pre_1910,33.0
Pre_554,33.0
Pre_2856,33.0
Pre_738,33.0
Pre_1374,34.0
Pre_1622,34.0
Pre_680,34.0
Pre_1145,34.0
Pre_513,34.0
Pre_1973,34.0
Pre_745,35.0
Pre_2351,35.0
Pre_818,35.0
Pre_2371,35.0
Pre_77,35.0
Pre_1585,35.0
Pre_2819,35.0
Pre_1697,36.0
Pre_2645,36.0
Pre_1795,36.0
Pre_1740,36.0
Pre_1008,36.0
Pre_2137,36.0
Pre_1443,36.0
Pre_2651,36.0
Pre_262,37.0
Pre_1676,37.0
Pre_2422,37.0
Pre_1354,37.0
Pre_2744,37.0
Pre_2649,37.0
Pre_1223,37.0
Pre_311,37.0
Pre_87,38.0
Pre_246,38.0
Pre_1378,38.0
Pre_1974,38.0
Pre_1531,38.0
Pre_1491,39.0
Pre_2540,39.0
Pre_151,39.0
Pre_1850,39.0
Pre_2728,40.0
Pre_8,40.0
Pre_1198,40.0
Pre_1741,40.0
Pre_450,41.0
Pre_46,41.0
Pre_255,41.0
Pre_368,41.0
Pre_2409,41.0
Pre_1521,42.0
Pre_96,42.0
Pre_2796,42.0
Pre_265,42.0
Pre_2499,42.0
Pre_2487,42.0
Pre_1606,42.0
Pre_1164,42.0
Pre_927,42.0
Pre_1255,42.0
Pre_2621,43.0
Pre_1908,43.0
Pre_1218,43.0
Pre_1532,43.0
Pre_2481,44.0
Pre_308,45.0
Pre_1536,45.0
Pre_839,45.0
Pre_756,45.0
Pre_361,45.0
Pre_679,45.0
Pre_1995,46.0
Pre_819,46.0
Pre_1381,46.0
Pre_793,46.0
Pre_1345,47.0
Pre_2492,47.0
Pre_1813,47.0
Pre_2161,47.0
Pre_2581,47.0
Pre_397,48.0
Pre_711,48.0
Pre_28,48.0
Pre_2036,48.0
Pre_2340,48.0
Pre_2211,48.0
Pre_2117,48.0
Pre_774,48.0
Pre_718,48.0
Pre_1983,48.0
Pre_2668,49.0
Pre_2670,49.0
Pre_2212,49.0
Pre_1427,49.0
Pre_2697,49.0
Pre_172,50.0
Pre_526,50.0
Pre_2112,50.0
Pre_903,50.0
Pre_804,50.0
Pre_1669,50.0
Pre_2826,51.0
Pre_1573,51.0
Pre_174,51.0
Pre_2030,51.0
Pre_451,51.0
Pre_1303,51.0
Pre_1372,52.0
Pre_527,52.0
Pre_214,52.0
Pre_48,53.0
Pre_2244,53.0
Pre_2297,53.0
Pre_1160,53.0
Pre_260,53.0
Pre_2720,53.0
Pre_1117,54.0
Pre_1944,55.0
Pre_203,55.0
Pre_1475,55.0
Pre_2300,55.0
Pre_589,55.0
Pre_1543,55.0
Pre_588,55.0
Pre_1901,55.0
Pre_347,55.0
Pre_1435,56.0
Pre_2545,56.0
Pre_2691,56.0
Pre_2709,56.0
Pre_490,57.0
Pre_1029,57.0
Pre_773,57.0
Pre_751,58.0
Pre_1989,58.0
Pre_2486,59.0
Pre_1137,59.0
Pre_889,59.0
Pre_1341,59.0
Pre_539,59.0
Pre_568,59.0
Pre_1406,59.0
Pre_768,60.0
Pre_2392,61.0
Pre_312,61.0
Pre_2354,61.0
Pre_366,62.0
Pre_1729,62.0
Pre_2062,62.0
Pre_1207,62.0
Pre_117,62.0
Pre_1790,62.0
Pre_127,62.0
Pre_696,63.0
Pre_2239,63.0
Pre_2615,64.0
Pre_303,64.0
Pre_563,64.0
Pre_908,65.0
Pre_118,65.0
Pre_617,65.0
Pre_1657,65.0
Pre_1982,65.0
Pre_1390,65.0
Pre_1609,65.0
Pre_631,66.0
Pre_1569,66.0
Pre_1522,66.0
Pre_1652,66.0
Pre_958,66.0
Pre_212,66.0
Pre_1659,67.0
Pre_855,67.0
Pre_2000,67.0
Pre_1217,67.0
Pre_1651,67.0
Pre_684,67.0
Pre_1653,67.0
Pre_1654,67.0
Pre_1655,67.0
Pre_1656,67.0
Pre_1650,67.0
Pre_1658,67.0
Pre_1232,67.0
Pre_57,67.0
Pre_152,67.0
Pre_2690,67.0
Pre_2619,67.0
Pre_2647,67.0
Pre_2420,67.0
Pre_1898,68.0
Pre_2213,68.0
Pre_948,68.0
Pre_2045,68.0
Pre_2805,68.0
Pre_2269,68.0
Pre_2663,68.0
Pre_2003,68.0
Pre_2208,68.0
Pre_2363,68.0
Pre_45,69.0
Pre_1966,69.0
Pre_2646,69.0
Pre_1159,69.0
Pre_16,69.0
