Candidate,Entry,Experimental,Entry
AAAS,Q9NRG9,ABCC8,Q09428
AANAT,Q16613,ADAMTS9,Q9P2N4
ABCA1,O95477,ADCY5,O95622
ABCA4,P78363,ADIPOQ,Q15848
ABCB1,P08183,AKT2,P31751
ABCB10,Q9NRK6,AP3S2,P59780
ABCB6,Q9NP58,ATF3,P18847
ABCB9,Q9NP78,ATP2A2,P16615
ABCC11,Q96J66,ATP2A3,Q93084
ABCC2,Q92887,AUTS2,Q8WXX7
ABCC5,O15440,BCL2,P10415
ABCC8,Q09428,BCL2L1,Q07817
ABCG1,P45844,BCL2L11,O43521
ABCG2,Q9UNQ0,BHMT,Q93088
ABCG5,Q9H222,BRAF,P15056
ABCG8,Q9H221,C2CD4A,Q8NCU7
ABHD6,Q9BV23,C2CD4B,A6NLJ0
ABI3BP,Q7Z7G0,C3,P01024
ABO,P16442,CAPN10,Q9HC96
ACAA1,P09110,CASP3,P42574
ACACA,Q13085,CASP8,Q14790
ACACB,O00763,CAT,P04040
ACAD10,Q6JQN1,CAT,Q6IB77
ACAD8,Q9UKU7,CBS,P35520
ACAT1,P24752,CCDC92,Q53HC0
ACD,Q96AP0,CCND2,P30279
ACE,P12821,CDKAL1,Q5VV42
ACE2,Q9BYF1,CDO1,Q16878
ACHE,P22303,CISD2,Q8N5K1
ACKR3,P25106,CMIP,Q8IY22
ACLY,P53396,CPT1A,P50416
ACOT2,P49753,CYBA,P13498
ACOT7,O00154,CYP1A2,P05177
ACP1,P24666,DGKD,Q16760
ACR,P10323,ECE1,P42892
ACSL1,P33121,EDN1,P05305
ACTB,P60709,EDNRA,P25101
ACTBL2,Q562R1,EDNRB,P24530
ACTG1,P63261,EGFR,P00533
ACTG2,P63267,ENPP1,P22413
ACVR1C,Q8NER5,EPC2,Q52LR7
ACVR2B,Q13705,ETS1,P14921
ADA,P00813,FAM234A,Q9H0X4
ADA2,Q9NZK5,FAS,P25445
ADAM11,O75078,FAS,P49327
ADAM17,P78536,FGF21,Q9NSA1
ADAM19,Q9H013,FTO,Q9C0B1
ADAM28,Q9UKQ2,GCG,P01275
ADAMTS13,Q76LX8,GCGR,P47871
ADAMTS2,O95450,GCK,P35557
ADAMTS9,Q9P2N4,GCK,Q12851
ADARB1,P78563,GCKR,Q14397
ADCY3,O60266,GLIS3,Q8NEA6
ADCY5,O95622,GLP1R,P43220
ADCYAP1,P18509,GNB3,P16520
ADD1,P35611,GP2,P55259
ADGRG1,Q9Y653,GPD2,P43304
ADGRL3,Q9HAR2,GPX1,P07203
ADH1B,P00325,GRB14,Q14449
ADH1C,P00326,GSTM1,P09488
ADIPOQ,Q15848,HHEX,Q03014
ADIPOR1,Q96A54,HK1,P19367
ADIPOR2,Q86V24,HLA-DRB5,Q30154
ADM,P35318,HMG20A,Q9NP66
ADM2,Q7Z4H4,HMGA1,P17096
ADORA1,P30542,HMOX1,P09601
ADORA2B,P29275,HNF1A,P20823
ADORA3,P0DMS8,HNF1B,P35680
ADRA1A,P25100,HNF4A,P41235
ADRA1A,P35348,HP,P00738
ADRA2A,P08913,HPX,P02790
ADRA2B,P18089,IAPP,P10997
ADRB2,P07550,ICAM1,P05362
ADRB3,P13945,ID1,P41134
AFM,P43652,IGF2BP2,Q9Y6M1
AFP,P02771,IL13RA1,P78552
AGBL5,Q8NDL9,INPPL1,O15357
AGER,Q15109,INS,P01308
AGMO,Q6ZNB7,INSR,P06213
AGPAT1,Q99943,IRS1,P35568
AGRP,O00253,IRS2,Q9Y4H2
AGT,P01019,ITGA1,P56199
AGTR1,P30556,ITLN1,Q8WWA0
